sym,t,date,kind,volx,clv,close,sig_low,atr_pct,trend200,ext,near_earn,year,fill,gap_pct,stop_pct,o_t5,p_t5,d_t5,o_t8,p_t8,d_t8,o_t10,p_t10,d_t10,p_hold5,p_hold10,p_hold20,mfe,mae
AVGO,310,2024-12-16,A,3.95,0.91,250.0,230.80999755859375,4.46,True,41.71,False,2024,240.65,-3.74,4.09,stop,-4.09,1,stop,-4.09,1,stop,-4.09,1,-0.4,-3.6,-1.33,2.76,-9.59
AAPL,314,2024-12-20,A,3.28,0.95,254.49,245.69000244140625,1.66,True,8.38,False,2024,254.77,0.11,3.56,stop,-3.56,6,stop,-3.56,6,stop,-3.56,6,-1.71,-4.74,-12.56,2.09,-13.89
BSX,314,2024-12-20,B,3.52,0.7,88.95,87.25,1.69,True,0.81,False,2024,89.27,0.36,2.26,target,8.3,10,target,8.3,10,target,10.0,15,0.06,7.48,14.19,14.43,-1.02
CSCO,314,2024-12-20,B,3.58,0.83,58.52,57.27000045776367,1.38,True,1.76,False,2024,58.13,-0.67,1.48,target,5.0,17,time,7.05,20,time,7.05,20,1.84,1.84,7.05,7.21,-0.02
EMR,314,2024-12-20,B,3.58,0.82,124.09,121.08999633789062,2.19,True,1.26,False,2024,123.8,-0.23,2.19,stop,-2.19,9,stop,-2.19,9,stop,-2.19,9,0.11,-2.83,5.49,6.67,-5.9
GILD,314,2024-12-20,B,3.38,0.72,92.57,90.70999908447266,2.4,True,2.3,False,2024,92.62,0.05,2.06,stop,-2.06,8,stop,-2.06,8,stop,-2.06,8,-0.27,-3.76,0.49,2.08,-4.37
ARM,322,2025-01-03,B,1.56,0.97,141.08,129.51499938964844,5.27,True,1.81,False,2025,142.79,1.21,7.0,target,5.0,0,target,8.0,9,target,12.31,10,-1.91,26.01,21.34,28.08,-5.71
MDT,328,2025-01-14,A,2.11,0.97,85.25,83.11000061035156,1.81,True,1.12,False,2025,83.92,-1.56,0.97,target,5.0,2,target,8.03,7,target,10.0,7,6.35,9.62,9.87,10.92,0.0
ISRG,329,2025-01-15,A,2.56,0.87,580.11,549.1699829101562,2.49,True,8.15,False,2025,582.6,0.43,5.74,target,5.0,3,time,2.22,20,time,2.22,20,0.25,-1.84,2.22,5.73,-3.32
MDT,329,2025-01-15,B,1.82,0.75,85.4,83.91999816894531,1.88,True,1.39,False,2025,85.43,0.04,1.77,target,5.0,5,target,8.0,6,time,8.64,20,5.57,6.31,8.64,8.95,-0.47
EMR,332,2025-01-21,B,1.53,0.97,129.48,125.62999725341797,2.16,True,1.8,False,2025,131.2,1.33,4.25,stop,-4.25,10,stop,-4.25,10,stop,-4.25,10,-1.79,-4.91,-4.92,0.66,-6.73
ETN,332,2025-01-21,B,1.59,0.99,357.63,350.4800109863281,2.21,True,0.63,False,2025,372.27,4.09,5.85,stop,-11.49,3,stop,-11.49,3,stop,-11.49,3,-14.69,-15.32,-17.04,1.54,-19.87
ARM,333,2025-01-22,A,5.96,0.87,179.93,159.9499969482422,4.8,True,29.11,False,2025,170.39,-5.3,6.13,stop,-12.61,2,stop,-12.61,2,stop,-12.61,2,-10.07,-1.71,-15.0,2.09,-16.48
MPWR,333,2025-01-22,A,2.12,0.79,689.42,652.0399780273438,3.91,False,13.28,False,2025,673.94,-2.25,3.25,stop,-3.25,2,stop,-3.25,2,stop,-3.25,2,-5.51,-1.93,-1.91,7.43,-12.37
TXN,334,2025-01-23,A,2.39,1.0,200.61,193.80999755859375,2.53,False,2.54,True,2025,190.0,-5.29,-2.01,stop,2.01,0,stop,2.01,0,stop,2.01,0,-2.84,-5.26,5.65,8.29,-6.97
UNP,334,2025-01-23,A,2.21,0.79,248.05,242.05999755859375,1.9,False,5.82,True,2025,247.48,-0.23,2.19,stop,-2.19,6,stop,-2.19,6,stop,-2.19,6,0.13,-2.18,-2.08,3.78,-4.21
COST,336,2025-01-27,B,1.72,0.96,965.25,927.1799926757812,1.74,True,1.54,False,2025,961.83,-0.35,3.6,target,5.0,5,target,8.0,6,target,10.0,7,6.24,10.03,7.29,12.1,-0.81
CRM,336,2025-01-27,B,3.34,0.73,347.1,330.5,2.7,True,2.92,False,2025,354.77,2.21,6.84,stop,-6.84,7,stop,-6.84,7,stop,-6.84,7,-3.0,-8.56,-13.37,3.47,-15.26
IBM,336,2025-01-27,B,1.53,0.96,224.13,219.83999633789062,1.87,True,0.43,True,2025,224.32,0.08,2.0,target,11.45,2,target,11.45,2,target,11.45,2,17.89,13.54,14.05,18.46,-1.14
META,336,2025-01-27,A,2.46,0.9,659.88,625.0999755859375,3.18,True,9.74,True,2025,666.0,0.93,6.14,target,5.0,2,target,8.0,8,target,10.0,13,5.73,8.08,1.16,11.25,-3.62
